Дата оплаты	Лицевой счет	Сумма
04.02.2021	050403219	2652,39
04.02.2021	050403335	2983,93
04.02.2021	050403432	19970,24
04.02.2021	050404029	2189,65
04.02.2021	050404044	2772,51
04.02.2021	050404059	3060,81
04.02.2021	050501044	1657,74
04.02.2021	050501046	1268,53
04.02.2021	050501117	1508,79
04.02.2021	050501276	2734,07
04.02.2021	050502144	2988,63
04.02.2021	050503124	2932,49
04.02.2021	050503227	2710,05
04.02.2021	050503383	2474,60
04.02.2021	050504197	2647,58
04.02.2021	050504373	2585,11
04.02.2021	050505366	3065,62
04.02.2021	050801147	4,81
04.02.2021	050901150	2806,15
04.02.2021	050901151	2810,95
04.02.2021	051201056	2959,91
04.02.2021	051202116	3464,44
04.02.2021	051202132	2647,44
04.02.2021	051301225	2421,74
04.02.2021	051601064	2537,07
04.02.2021	051601082	2181,49
04.02.2021	051601090	3512,49
04.02.2021	051601096	2287,20
04.02.2021	051601123	2407,33
04.02.2021	051601145	2090,20
04.02.2021	051601146	2657,20
04.02.2021	051601147	2436,16
04.02.2021	052101153	2211,24
04.02.2021	052201019	2940,68
04.02.2021	052201100	2883,03
04.02.2021	052901067	1763,45
04.02.2021	052901145	2796,54
04.02.2021	052901146	2027,73
04.02.2021	052901147	2652,39
04.02.2021	053001192	2772,69
04.02.2021	053301039	2849,40
04.02.2021	053301048	2983,93
04.02.2021	053301050	2767,70
04.02.2021	053701328	2221,19
04.02.2021	054001326	2724,45
04.02.2021	054001327	2570,70
04.02.2021	054001328	2493,82
04.02.2021	054001329	2710,05
04.02.2021	054201095	2474,60
04.02.2021	054201214	2801,34
04.02.2021	054201225	360,38
04.02.2021	054201281	2565,90
04.02.2021	054201426	2133,45
04.02.2021	054601050	2316,03
04.02.2021	054601185	1364,63
04.02.2021	054602069	2120,55
04.02.2021	054602169	2016,90
04.02.2021	054801097	1878,77
04.02.2021	054901004	2018,12
04.02.2021	054901005	2145,47
04.02.2021	054901107	1715,40
04.02.2021	054901108	2368,89
04.02.2021	054901114	2162,27
04.02.2021	054901125	2517,84
04.02.2021	055001098	2402,52
04.02.2021	055001290	2388,10
04.02.2021	055001302	1182,03
04.02.2021	055601007	2056,56
04.02.2021	055601316	2854,20
04.02.2021	055601317	3007,95
04.02.2021	055601318	3003,16
04.02.2021	055601319	3089,65
04.02.2021	055601320	3003,16
04.02.2021	055701020	2618,75
04.02.2021	056101049	2729,26
04.02.2021	056101064	2724,45
04.02.2021	056101092	2373,70
04.02.2021	060104348	276,41
04.02.2021	060105407	2469,80
04.02.2021	060105501	2700,44
04.02.2021	060107669	2878,22
04.02.2021	060201049	2552,43
04.02.2021	060204361	2143,05
04.02.2021	060205411	3887,28
04.02.2021	060206540	682,37
04.02.2021	060207634	3156,92
04.02.2021	060210976	2301,61
04.02.2021	060301050	47,51
04.02.2021	060301055	1715,40
04.02.2021	060301069	3108,86
04.02.2021	060303241	2484,21
04.02.2021	060304392	701,54
04.02.2021	060306550	2892,64
04.02.2021	060309841	2195,90
04.02.2021	060309843	1671,39
04.02.2021	060309890	47,51
04.02.2021	060403246	2652,39
04.02.2021	060406588	2003,70
04.02.2021	060406592	3056,01
04.02.2021	060505237	56,14
04.02.2021	060602173	2206,93
04.02.2021	060701030	1114,77
04.02.2021	061008769	3118,47
04.02.2021	061210940	2436,16
04.02.2021	061301091	2311,22
04.02.2021	061301093	2080,59
04.02.2021	061301094	2008,50
04.02.2021	061301095	2022,93
04.02.2021	061301096	1859,55
04.02.2021	061309858	1340,61
04.02.2021	061408779	3478,86
04.02.2021	061410892	1638,52
04.02.2021	061410894	3144,10
04.02.2021	061702406	2402,52
04.02.2021	061702410	2388,10
04.02.2021	061703008	2892,64
04.02.2021	061703031	2484,21
04.02.2021	080101516	720,76
04.02.2021	080104226	1580,86
04.02.2021	080104227	1556,84
04.02.2021	080104228	1907,60
04.02.2021	080105231	1451,12
04.02.2021	080105233	1998,89
04.02.2021	080105234	1998,89
04.02.2021	080108003	994,65
04.02.2021	080201024	855,29
04.02.2021	080201161	1597,96
04.02.2021	080202096	1201,26
04.02.2021	080204035	1541,82
04.02.2021	080204076	1204,96
04.02.2021	080204083	272,09
04.02.2021	080204132	885,36
04.02.2021	080204164	1479,95
04.02.2021	080204280	2569,51
04.02.2021	080205148	1744,81
04.02.2021	080206050	1969,38
04.02.2021	080206107	1502,95
04.02.2021	080206122	1427,10
04.02.2021	080206149	1166,12
04.02.2021	080206151	384,41
04.02.2021	080206187	331,55
04.02.2021	080206217	1138,79
04.02.2021	080207229	1854,74
04.02.2021	080208208	2061,36
04.02.2021	080208259	1567,74
04.02.2021	080208260	963,10
04.02.2021	080210121	807,25
05.02.2021	080303154	1213,60
05.02.2021	080306263	1222,24
05.02.2021	080306332	1124,38
05.02.2021	080309120	1297,37
