31.10.2020	43953114	8	79486
31.10.2020	84515297	729	6997
31.10.2020	50527457	259	47079
31.10.2020	50527520	277	73601
31.10.2020	50890969	40955	54094
31.10.2020	53775356	49	57424
31.10.2020	53968517	516	35266
31.10.2020	54150152	9	51869
31.10.2020	54150172	4128	4697
31.10.2020	54150173	4318	28581
31.10.2020	84515458	83	7896
31.10.2020	54150187	735	40008
31.10.2020	54150193	0	40455
31.10.2020	54814873	329	20427
31.10.2020	54814939	5	13504
31.10.2020	84271096	425	66206
31.10.2020	03514046	12236	118546
31.10.2020	63077205	13035	49525
31.10.2020	63077206	99503	155510
31.10.2020	63077212	26303	14560
31.10.2020	84105894	546	106661
31.10.2020	63077221	41995	71549
31.10.2020	63077222	30373	63153
31.10.2020	63077231	7637	64511
31.10.2020	63077232	35480	137912
31.10.2020	84437302	1722	33931
31.10.2020	84483836	593	21009
31.10.2020	63077530	155844	137991
31.10.2020	63197223	112498	24872
31.10.2020	84483406	894	23724
31.10.2020	63197601	13847	43195
31.10.2020	63197612	114550	97184
31.10.2020	63197806	24196	61537
31.10.2020	63224871	13035	114791
31.10.2020	63224872	13645	108624
31.10.2020	63224873	2910	155811
31.10.2020	63224875	5563	49601
31.10.2020	63224879	29608	108121
31.10.2020	63224880	5956	132926
31.10.2020	63224884	10787	154927
31.10.2020	63224885	42012	29488
31.10.2020	63224886	21446	143594
31.10.2020	63224887	4340	72336
31.10.2020	63225515	7257	89280
31.10.2020	63225523	6508	174792
31.10.2020	63225584	6796	91292
31.10.2020	63225586	48897	123780
31.10.2020	63225663	20752	113349
31.10.2020	83778920	8621	94733
31.10.2020	83778921	22648	54766
31.10.2020	83778931	3924	110838
31.10.2020	84231325	12	52749
31.10.2020	83778946	1629	106620
31.10.2020	83778961	884	101590
31.10.2020	83778980	25	123898
31.10.2020	83778981	1637	52762
31.10.2020	83778983	7584	48978
31.10.2020	83778984	28	101669
31.10.2020	83778986	19868	150965
31.10.2020	83778991	1766	129320
31.10.2020	83778997	5135	97408
31.10.2020	83778999	4397	102644
31.10.2020	83779025	11711	148739
31.10.2020	83779039	289	138059
31.10.2020	83779045	26	127323
31.10.2020	83779049	457	112744
31.10.2020	83779050	345	126172
31.10.2020	83779051	538	119954
31.10.2020	83779054	36004	103892
31.10.2020	83779057	3094	113928
31.10.2020	83779058	27996	103023
31.10.2020	83779061	21	115499
31.10.2020	83779076	45	116849
31.10.2020	83779077	31	109970
31.10.2020	83779083	11808	99042
31.10.2020	83779093	40424	106586
31.10.2020	83779096	28833	16363
31.10.2020	83779099	58249	123149
31.10.2020	83779111	26	120683
31.10.2020	83779117	8502	112195
31.10.2020	83779125	562	54504
31.10.2020	83779126	1621	110115
31.10.2020	83779128	798	129042
31.10.2020	83779135	14609	112665
31.10.2020	83779138	573	129726
31.10.2020	83779145	5351	127454
31.10.2020	83779160	9286	114959
31.10.2020	83779168	3562	105584
31.10.2020	83779180	5429	114160
31.10.2020	83779188	6494	100837
31.10.2020	83801414	29	120219
31.10.2020	83801420	14714	29453
31.10.2020	83801424	1697	117712
31.10.2020	83801426	2697	86954
31.10.2020	83801427	11392	113099
31.10.2020	83801431	8211	109587
31.10.2020	83801432	33	84780
31.10.2020	83801451	14001	45467
31.10.2020	83801471	3292	109304
31.10.2020	83801476	22899	30651
31.10.2020	83801482	48407	69600
31.10.2020	83801513	10727	93430
31.10.2020	83801528	31	120219
31.10.2020	83801573	16446	117927
31.10.2020	83801582	517	86970
31.10.2020	83801594	7467	104477
31.10.2020	83801601	79350	92643
31.10.2020	84105160	198	5801
31.10.2020	83801633	883	113234
31.10.2020	84105237	5	18468
31.10.2020	83801666	9983	99681
31.10.2020	83801691	7542	105776
31.10.2020	83801696	2066	118153
31.10.2020	83801774	3826	104011
31.10.2020	83801776	1198	79590
31.10.2020	83801784	3451	82154
31.10.2020	83801786	21	110723
31.10.2020	83801787	155	103096
31.10.2020	83801793	27	104463
31.10.2020	83801794	22	102279
31.10.2020	83801798	19	97129
31.10.2020	83801804	28	103219
31.10.2020	83801805	3605	105043
31.10.2020	83801820	4935	30052
31.10.2020	83801835	8690	105637
31.10.2020	83801840	3463	109936
31.10.2020	83801850	3781	104090
31.10.2020	83801869	1515	107984
31.10.2020	83801872	16491	22383
31.10.2020	83801878	42687	77724
31.10.2020	83801898	4694	48615
31.10.2020	83882074	3779	120343
31.10.2020	83882080	674	120712
31.10.2020	83882096	5581	126999
31.10.2020	83882102	173	106305
31.10.2020	83882107	10301	97762
31.10.2020	83882108	159	110201
31.10.2020	83882153	19673	416
31.10.2020	83882190	17	107548
31.10.2020	83882196	4751	109070
31.10.2020	83882204	3945	51101
31.10.2020	83882205	56684	90486
31.10.2020	83882215	150	80370
31.10.2020	83882220	1485	137146
31.10.2020	83882225	3580	42504
31.10.2020	83882230	3384	102224
31.10.2020	83882258	22174	65985
31.10.2020	83882260	3579	26934
31.10.2020	83882261	4469	99502
31.10.2020	83882263	2371	103996
31.10.2020	83882275	4968	88122
31.10.2020	83882319	56	89256
31.10.2020	83882329	350	118958
31.10.2020	83882336	27	109619
31.10.2020	83882337	2034	112412
31.10.2020	83882353	40	128043
31.10.2020	83882363	4913	111889
31.10.2020	83882366	5003	116137
31.10.2020	83882367	3930	113323
31.10.2020	03514057	7240	12386
31.10.2020	83979908	665	94668
31.10.2020	83979909	7649	66926
31.10.2020	83979927	71	15629
31.10.2020	83979933	1919	93364
31.10.2020	83979935	21	86901
31.10.2020	83979937	4601	97713
31.10.2020	83979945	4033	96235
31.10.2020	54150174	254	45228
31.10.2020	83979960	32	115429
31.10.2020	83983503	3672	111598
31.10.2020	83983504	12311	108597
31.10.2020	83983505	2241	82448
31.10.2020	83983509	6680	114787
31.10.2020	83983510	210	101583
31.10.2020	83983523	118	91798
31.10.2020	83983524	7395	86468
